                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88193,                 1.5735,                 1.3526,                      0,                      0,                      0,                      0,                      0,                 9.4639,                      0,             0.00065497,             0.00065497,             0.00065497
                      2,                0.88067,                 1.1455,                 1.3374,                      0,                      0,                      0,                      0,                      0,                 5.1085,                      0,              0.0012955,              0.0012955,              0.0012955
                      3,                0.92586,                 1.0294,                 1.3537,                      0,                      0,                      0,                      0,                      0,                 8.8849,                      0,              0.0019096,              0.0019096,              0.0019096
