                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1914,                 4.2181,                  1.665,                      0,                      0,                      0,                      0,                      0,                 6.1561,                      0,                      0,                      0,                      0
                      2,                0.83009,                 4.1942,                 1.5346,                      0,                      0,                      0,                      0,                      0,                 6.1588,                      0,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                 0.5155,                  3.699,                 1.1066,                      0,                      0,                      0,                      0,                      0,                 6.1602,                      0,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                0.63285,                 3.8783,                 1.1631,                      0,                      0,                      0,                      0,                      0,                 6.1595,                      0,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                0.86423,                 5.1302,                 1.5174,                      0,                      0,                      0,                      0,                      0,                 6.1563,                      0,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                0.27462,                  3.967,                0.92687,                      0,                      0,                      0,                      0,                      0,                  6.151,                      0,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                0.51616,                 3.9308,                 1.2101,                      0,                      0,                      0,                      0,                      0,                 6.1492,                      0,             0.00010574,             0.00010574,             0.00010574
                      8,                0.71013,                 3.0191,                 1.3064,                      0,                      0,                      0,                      0,                      0,                 6.1507,                      0,              0.0001206,              0.0001206,              0.0001206
                      9,                0.43415,                 2.8165,                 1.0002,                      0,                      0,                      0,                      0,                      0,                 6.1585,                      0,             0.00013466,             0.00013466,             0.00013466
                     10,                0.45275,                 2.4612,                 1.0216,                      0,                      0,                      0,                      0,                      0,                 6.1774,                      0,             0.00014792,             0.00014792,             0.00014792
                     11,                0.83519,                 4.5074,                 1.2382,                      0,                      0,                      0,                      0,                      0,                  6.198,                      0,              0.0001604,              0.0001604,              0.0001604
                     12,                0.62331,                 2.2582,                 1.2607,                      0,                      0,                      0,                      0,                      0,                 6.2107,                      0,             0.00017208,             0.00017208,             0.00017208
                     13,                 1.1804,                 3.3486,                 1.7208,                      0,                      0,                      0,                      0,                      0,                 6.2103,                      0,             0.00018298,             0.00018298,             0.00018298
                     14,                0.77236,                 2.6186,                 1.3976,                      0,                      0,                      0,                      0,                      0,                 6.1833,                      0,             0.00019308,             0.00019308,             0.00019308
                     15,                0.81034,                 4.6388,                 1.8701,                      0,                      0,                      0,                      0,                      0,                 6.1587,                      0,             0.00020238,             0.00020238,             0.00020238
                     16,                 0.3827,                 4.4422,                 1.0752,                      0,                      0,                      0,                      0,                      0,                 6.1513,                      0,              0.0002109,              0.0002109,              0.0002109
                     17,                 1.0103,                 3.9289,                 1.5631,                      0,                      0,                      0,                      0,                      0,                 6.1449,                      0,             0.00021862,             0.00021862,             0.00021862
                     18,                0.84186,                 3.8655,                   1.42,                      0,                      0,                      0,                      0,                      0,                 6.1449,                      0,             0.00022556,             0.00022556,             0.00022556
                     19,                0.75642,                 2.2027,                 1.3634,                      0,                      0,                      0,                      0,                      0,                 6.1391,                      0,              0.0002317,              0.0002317,              0.0002317
                     20,                0.68319,                  2.223,                 1.3525,                      0,                      0,                      0,                      0,                      0,                 6.1391,                      0,             0.00023704,             0.00023704,             0.00023704
                     21,                0.92727,                 3.9501,                 1.4838,                      0,                      0,                      0,                      0,                      0,                 6.1382,                      0,              0.0002416,              0.0002416,              0.0002416
                     22,                0.90774,                 2.6896,                 1.3259,                      0,                      0,                      0,                      0,                      0,                 6.1382,                      0,             0.00024536,             0.00024536,             0.00024536
                     23,                0.72752,                 2.4864,                 1.2448,                      0,                      0,                      0,                      0,                      0,                 6.1319,                      0,             0.00024834,             0.00024834,             0.00024834
                     24,                 0.9864,                 3.6924,                  1.387,                      0,                      0,                      0,                      0,                      0,                 6.1319,                      0,             0.00025052,             0.00025052,             0.00025052
                     25,                0.72999,                 1.9762,                 1.0777,                      0,                      0,                      0,                      0,                      0,                 6.1238,                      0,              0.0002519,              0.0002519,              0.0002519
                     26,                0.85893,                  2.683,                 1.2975,                      0,                      0,                      0,                      0,                      0,                 6.1238,                      0,              0.0002525,              0.0002525,              0.0002525
                     27,                0.90044,                 4.0065,                 1.5433,                      0,                      0,                      0,                      0,                      0,                  6.114,                      0,              0.0002523,              0.0002523,              0.0002523
                     28,                0.70569,                 3.4883,                 1.2061,                      0,                      0,                      0,                      0,                      0,                  6.114,                      0,             0.00025132,             0.00025132,             0.00025132
                     29,                0.61913,                 2.0532,                 1.2869,                      0,                      0,                      0,                      0,                      0,                 6.0962,                      0,             0.00024954,             0.00024954,             0.00024954
                     30,                0.84068,                 2.4923,                 1.3229,                      0,                      0,                      0,                      0,                      0,                 6.0962,                      0,             0.00024696,             0.00024696,             0.00024696
                     31,                0.64356,                 2.6513,                 1.2032,                      0,                      0,                      0,                      0,                      0,                 6.0763,                      0,              0.0002436,              0.0002436,              0.0002436
                     32,                0.39732,                 1.8117,                 1.0194,                      0,                      0,                      0,                      0,                      0,                 6.0763,                      0,             0.00023944,             0.00023944,             0.00023944
                     33,                0.76606,                 1.9831,                   1.35,                      0,                      0,                      0,                      0,                      0,                 6.0498,                      0,              0.0002345,              0.0002345,              0.0002345
                     34,                 1.0709,                 3.0659,                 1.6724,                      0,                      0,                      0,                      0,                      0,                 6.0498,                      0,             0.00022876,             0.00022876,             0.00022876
                     35,                0.58594,                 3.3806,                 1.0977,                      0,                      0,                      0,                      0,                      0,                 6.0273,                      0,             0.00022222,             0.00022222,             0.00022222
                     36,                0.52858,                 1.7154,                 1.0643,                      0,                      0,                      0,                      0,                      0,                 6.0273,                      0,              0.0002149,              0.0002149,              0.0002149
                     37,                0.58021,                 2.3753,                 1.0742,                      0,                      0,                      0,                      0,                      0,                 6.0073,                      0,             0.00020678,             0.00020678,             0.00020678
                     38,                0.50996,                 1.5328,                0.97656,                      0,                      0,                      0,                      0,                      0,                 6.0073,                      0,             0.00019788,             0.00019788,             0.00019788
                     39,                0.58789,                  1.582,                 1.1349,                      0,                      0,                      0,                      0,                      0,                 5.9829,                      0,             0.00018818,             0.00018818,             0.00018818
                     40,                0.39583,                 1.7585,                 1.2356,                      0,                      0,                      0,                      0,                      0,                 5.9829,                      0,             0.00017768,             0.00017768,             0.00017768
                     41,                0.38645,                 3.5633,                 1.0341,                      0,                      0,                      0,                      0,                      0,                 5.9603,                      0,              0.0001664,              0.0001664,              0.0001664
                     42,                0.53946,                 4.0431,                   1.25,                      0,                      0,                      0,                      0,                      0,                 5.9603,                      0,             0.00015432,             0.00015432,             0.00015432
                     43,                0.42252,                 3.6019,                 1.0588,                      0,                      0,                      0,                      0,                      0,                 5.9407,                      0,             0.00014146,             0.00014146,             0.00014146
                     44,                0.34295,                 3.6695,                0.83867,                      0,                      0,                      0,                      0,                      0,                 5.9407,                      0,              0.0001278,              0.0001278,              0.0001278
