                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                0.83717,                0.60942,                 1.1373,                0.94274,                0.88889,                0.90548,                0.62935,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     12,                0.81136,                0.57488,                 1.1255,                0.91268,                0.87179,                0.90633,                0.64118,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     13,                0.80761,                0.56246,                 1.1154,                0.91214,                0.86325,                0.86721,                0.55481,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     14,                 0.8002,                0.57163,                 1.1157,                0.90097,                0.85534,                0.89993,                0.60487,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     15,                0.75649,                0.53146,                 1.0914,                0.90172,                0.90598,                0.91449,                0.60618,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     16,                0.76197,                0.53511,                 1.0918,                0.89485,                0.86325,                0.85078,                0.55653,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     17,                0.77069,                0.53261,                 1.1021,                0.89657,                0.88034,                0.88737,                0.56366,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     18,                0.75589,                0.53032,                 1.0912,                 0.9534,                0.87433,                 0.9161,                0.65871,                    nan,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     19,                0.75361,                0.52448,                 1.0949,                0.90669,                0.91354,                0.93237,                0.64966,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     20,                0.75157,                0.50756,                 1.0951,                0.90969,                0.88889,                0.91286,                0.60909,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     21,                0.73589,                0.49977,                   1.08,                0.90294,                0.90598,                0.91118,                0.64333,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     22,                 0.7524,                0.50425,                 1.0869,                0.89499,                0.89744,                0.93281,                0.62631,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     23,                0.74302,                0.48304,                 1.0836,                0.93678,                0.88034,                0.92655,                 0.6226,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     24,                0.70787,                0.47437,                 1.0765,                0.91281,                0.89478,                0.91713,                0.62436,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     25,                0.69788,                0.46664,                 1.0577,                0.95062,                0.88034,                 0.9419,                0.68609,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     26,                0.70136,                0.45237,                 1.0615,                0.93681,                0.90598,                0.93568,                0.64407,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     27,                0.68616,                0.45359,                 1.0602,                0.93721,                0.89301,                0.91264,                0.64091,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     28,                0.69988,                0.43997,                 1.0699,                0.92237,                0.91402,                0.93656,                0.67595,                    nan,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                     29,                0.68854,                  0.445,                 1.0482,                0.95255,                0.87179,                0.92712,                0.62779,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                     30,                0.68249,                0.43946,                 1.0672,                0.89796,                0.91453,                0.92674,                0.65231,                    nan,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                     31,                0.68113,                0.43327,                  1.056,                0.92127,                0.91453,                0.91426,                0.66002,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     32,                0.66031,                0.45637,                 1.0477,                 0.9273,                0.89744,                0.93616,                0.64366,                    nan,                    nan,                    nan,              0.0007724,              0.0007724,              0.0007724
                     33,                0.65593,                0.42383,                 1.0404,                0.96036,                0.88034,                0.92604,                0.64613,                    nan,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     34,                0.64288,                0.41796,                 1.0372,                0.90547,                0.90598,                0.91006,                0.62439,                    nan,                    nan,                    nan,              0.0006932,              0.0006932,              0.0006932
                     35,                 0.6634,                0.42997,                 1.0464,                0.92091,                0.89565,                0.94012,                 0.6542,                    nan,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     36,                0.64527,                0.41163,                 1.0344,                0.92958,                0.90264,                0.93912,                0.68111,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     37,                0.63502,                0.39277,                 1.0346,                0.93898,                0.88889,                0.93815,                0.66733,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     38,                0.62953,                0.38447,                 1.0283,                 0.9208,                0.89428,                0.93554,                0.63985,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     39,                0.63143,                0.39016,                 1.0299,                0.94201,                0.88889,                0.93838,                0.65509,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     40,                0.62369,                0.39771,                 1.0227,                0.94785,                0.88889,                0.94324,                0.67731,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     41,                0.49607,                0.30618,                0.95396,                0.91813,                0.88889,                 0.9135,                 0.6247,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     42,                0.49525,                  0.315,                0.95282,                 0.9454,                0.88797,                0.94689,                0.67978,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     43,                0.48732,                0.28765,                0.95034,                0.92334,                0.92649,                0.95355,                0.66374,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     44,                0.47295,                0.28844,                0.94883,                0.92208,                0.91034,                0.92201,                0.64628,                    nan,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                     45,                0.47154,                0.26768,                0.94211,                0.98018,                0.84528,                0.94467,                0.69165,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     46,                0.46816,                 0.2716,                0.93331,                0.96452,                0.84615,                0.94143,                0.67849,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     47,                 0.4592,                 0.2644,                0.93768,                0.93941,                0.88889,                0.94021,                0.66473,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     48,                0.44915,                0.26963,                0.93701,                0.96041,                0.88034,                0.93792,                0.66665,                    nan,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                     49,                0.44086,                0.25317,                0.92707,                0.97061,                0.88889,                0.93914,                0.67535,                    nan,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                  0.438,                 0.2558,                0.93173,                0.97085,                0.88889,                0.94121,                0.66992,                    nan,                    nan,                    nan,               5.96e-05,               5.96e-05,               5.96e-05
