                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9774,                 1.2726,                 1.2694,                0.76355,                0.82051,                0.82424,                0.45892,                    nan,                    nan,                    nan,             0.00066449,             0.00066449,             0.00066449
                      2,                 1.0156,                0.94999,                 1.2387,                0.84974,                0.80342,                0.85893,                0.49123,                    nan,                    nan,                    nan,              0.0013048,              0.0013048,              0.0013048
                      3,                 1.0069,                0.89537,                 1.2419,                0.85487,                0.80557,                0.84376,                0.55538,                    nan,                    nan,                    nan,              0.0019187,              0.0019187,              0.0019187
                      4,                 1.0169,                0.82149,                 1.2211,                0.84752,                0.85511,                0.87533,                0.54576,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      5,                0.96058,                0.79636,                  1.202,                0.91826,                0.86418,                0.90638,                0.60582,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                      6,                0.90094,                0.69855,                 1.1575,                0.92749,                 0.8746,                0.89401,                 0.5882,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      7,                0.90889,                0.68812,                 1.1625,                0.85932,                0.88755,                0.88821,                0.59593,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      8,                0.87125,                0.64176,                 1.1522,                0.91854,                0.84615,                0.89135,                0.61917,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                      9,                0.84308,                0.64687,                  1.132,                0.93097,                0.87179,                0.86982,                 0.6174,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     10,                0.86626,                0.62785,                  1.141,                0.92716,                0.89744,                0.88659,                0.56134,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
