                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94961,                  1.264,                 1.2364,                0.98575,                   0.84,                0.88486,                0.50371,                    nan,                    nan,                    nan,             0.00066422,             0.00066422,             0.00066422
                      2,                0.98753,                0.98488,                 1.2203,                0.97457,                0.76648,                0.86547,                0.53189,                    nan,                    nan,                    nan,              0.0012782,              0.0012782,              0.0012782
                      3,                0.96064,                0.87928,                 1.1915,                 0.9992,                   0.79,                0.89484,                0.49477,                    nan,                    nan,                    nan,              0.0018394,              0.0018394,              0.0018394
                      4,                0.95071,                0.81164,                 1.1861,                      1,                0.74633,                0.87011,                0.54673,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      5,                0.91297,                0.74117,                 1.1634,                 0.9345,                0.85611,                0.88163,                0.63137,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                      6,                0.89011,                0.70403,                  1.157,                0.90245,                   0.86,                0.86557,                0.59509,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                      7,                0.85545,                0.67248,                 1.1377,                0.94859,                   0.88,                0.89446,                0.62533,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                      8,                0.85062,                0.65184,                 1.1347,                0.87239,                0.88877,                0.89647,                0.59327,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                      9,                0.81993,                0.60205,                 1.1216,                0.97178,                   0.84,                0.91177,                0.64606,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     10,                 0.7855,                0.57487,                 1.1085,                0.95634,                0.87627,                0.89708,                0.58737,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     11,                0.75702,                0.55851,                 1.0906,                0.86631,                   0.87,                0.84461,                0.56844,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     12,                  0.784,                0.56977,                 1.1003,                 0.8638,                0.88793,                0.89025,                0.61389,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     13,                 0.7526,                0.53489,                 1.0842,                0.93566,                 0.8726,                0.90822,                0.61786,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     14,                0.75504,                0.53414,                 1.0819,                0.91676,                0.88103,                0.87057,                 0.5894,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     15,                0.74603,                 0.5405,                 1.0827,                0.86867,                0.85988,                0.86924,                 0.5841,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                     16,                0.63075,                0.51726,                  1.032,                0.91551,                   0.87,                0.86265,                 0.5799,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     17,                0.61383,                0.43433,                 1.0209,                0.90422,                   0.88,                0.89171,                0.62175,                    nan,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     18,                0.59424,                0.40917,                  1.013,                0.87553,                   0.87,                0.89612,                0.59211,                    nan,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     19,                0.56831,                0.39513,                0.97751,                0.92739,                   0.89,                0.89558,                0.61714,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     20,                0.55407,                0.37042,                0.98544,                0.92872,                0.91204,                0.94315,                0.63348,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     21,                0.55157,                 0.3674,                0.98211,                0.91711,                0.88517,                0.92234,                0.65061,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     22,                0.52864,                0.32049,                0.96413,                0.88761,                   0.89,                0.92344,                0.60577,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     23,                0.51883,                0.32365,                0.98133,                0.95374,                   0.89,                0.91711,                0.58759,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     24,                 0.5036,                 0.3149,                0.95081,                0.91448,                   0.88,                0.90067,                0.58825,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     25,                0.48969,                 0.2919,                0.94666,                0.93439,                   0.88,                0.91957,                 0.6044,                    nan,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
