                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92054,                 1.5577,                  1.402,                      0,                      0,                      0,                      0,                      0,                 5.8024,                      0,                 0.0006,                 0.0006,                 0.0006
                      2,                0.88379,                 1.1131,                 1.3625,                      0,                      0,                      0,                      0,                      0,                 11.664,                      0,              0.0011958,              0.0011958,              0.0011958
                      3,                0.94192,                  1.009,                 1.3959,                      0,                      0,                      0,                      0,                      0,                 6.0861,                      0,              0.0017671,              0.0017671,              0.0017671
                      4,                0.91509,                0.90545,                 1.3395,                      0,                      0,                      0,                      0,                      0,                 9.0162,                      0,              0.0018812,              0.0018812,              0.0018812
                      5,                0.89942,                0.86327,                 1.3474,                      0,                      0,                      0,                      0,                      0,                 6.0726,                      0,              0.0018416,              0.0018416,              0.0018416
                      6,                0.85194,                0.74961,                 1.2945,                      0,                      0,                      0,                      0,                      0,                  6.527,                      0,               0.001802,               0.001802,               0.001802
                      7,                0.84818,                0.73068,                 1.2893,                      0,                      0,                      0,                      0,                      0,                 9.9976,                      0,              0.0017624,              0.0017624,              0.0017624
                      8,                0.83341,                0.67319,                 1.2853,                      0,                      0,                      0,                      0,                      0,                 6.8503,                      0,              0.0017228,              0.0017228,              0.0017228
                      9,                 0.7939,                0.64096,                 1.2627,                      0,                      0,                      0,                      0,                      0,                 1.4912,                      0,              0.0016832,              0.0016832,              0.0016832
                     10,                0.80041,                0.61019,                 1.2549,                      0,                      0,                      0,                      0,                      0,                  5.974,                      0,              0.0016436,              0.0016436,              0.0016436
                     11,                0.80524,                0.60661,                 1.2771,                      0,                      0,                      0,                      0,                      0,                 6.3831,                      0,               0.001604,               0.001604,               0.001604
                     12,                 0.7656,                0.57173,                 1.2197,                      0,                      0,                      0,                      0,                      0,                 7.2859,                      0,              0.0015644,              0.0015644,              0.0015644
                     13,                0.78389,                0.56365,                 1.2611,                      0,                      0,                      0,                      0,                      0,                 4.3381,                      0,              0.0015248,              0.0015248,              0.0015248
                     14,                0.71204,                0.51477,                  1.197,                      0,                      0,                      0,                      0,                      0,                 6.1565,                      0,              0.0014852,              0.0014852,              0.0014852
                     15,                0.76483,                0.51848,                 1.2209,                      0,                      0,                      0,                      0,                      0,                 7.4158,                      0,              0.0014456,              0.0014456,              0.0014456
                     16,                0.77195,                0.52151,                 1.2383,                      0,                      0,                      0,                      0,                      0,                 4.4561,                      0,               0.001406,               0.001406,               0.001406
                     17,                0.74984,                0.49683,                 1.2205,                      0,                      0,                      0,                      0,                      0,                 1.5566,                      0,              0.0013664,              0.0013664,              0.0013664
                     18,                0.71238,                0.48534,                 1.1825,                      0,                      0,                      0,                      0,                      0,                 5.9207,                      0,              0.0013268,              0.0013268,              0.0013268
                     19,                0.72824,                0.48221,                 1.2021,                      0,                      0,                      0,                      0,                      0,                 5.8007,                      0,              0.0012872,              0.0012872,              0.0012872
                     20,                0.70467,                0.46914,                 1.1823,                      0,                      0,                      0,                      0,                      0,                 7.2074,                      0,              0.0012476,              0.0012476,              0.0012476
                     21,                0.68604,                0.45705,                 1.1764,                      0,                      0,                      0,                      0,                      0,                 7.4761,                      0,               0.001208,               0.001208,               0.001208
                     22,                0.68917,                0.45137,                 1.1504,                      0,                      0,                      0,                      0,                      0,                 6.0487,                      0,              0.0011684,              0.0011684,              0.0011684
                     23,                 0.6602,                0.42101,                 1.1476,                      0,                      0,                      0,                      0,                      0,                 4.0653,                      0,              0.0011288,              0.0011288,              0.0011288
                     24,                0.68991,                 0.4317,                 1.1722,                      0,                      0,                      0,                      0,                      0,                 2.7116,                      0,              0.0010892,              0.0010892,              0.0010892
                     25,                0.66977,                0.43042,                 1.1487,                      0,                      0,                      0,                      0,                      0,                 3.5155,                      0,              0.0010496,              0.0010496,              0.0010496
